# wavelength flux error
3.20019e+03 1.10212e-16 7.25081e-17
3.20039e+03 -4.72591e-17 5.71695e-17
3.20059e+03 -6.65927e-17 5.24170e-17
3.20079e+03 -6.24595e-18 4.99379e-17
3.20099e+03 1.15926e-16 5.74222e-17
3.20119e+03 1.11083e-16 4.53603e-17
3.20139e+03 -1.09200e-16 3.69953e-17
3.20159e+03 5.87582e-17 4.14877e-17
3.20179e+03 1.15666e-16 5.80793e-17
3.20199e+03 3.27573e-17 5.46108e-17
3.20219e+03 1.42416e-16 3.83784e-17
3.20239e+03 8.20145e-17 3.92517e-17
3.20259e+03 4.22395e-17 3.85318e-17
3.20279e+03 -8.90923e-17 3.68380e-17
3.20299e+03 1.89959e-17 4.83258e-17
3.20319e+03 -1.98318e-16 3.45402e-17
3.20339e+03 9.47559e-18 4.41718e-17
3.20359e+03 1.04839e-16 5.26384e-17
3.20379e+03 9.25128e-17 5.38411e-17
3.20399e+03 1.17685e-16 4.22606e-17
3.20419e+03 2.50297e-18 4.45401e-17
3.20439e+03 -5.57118e-17 4.11022e-17
3.20459e+03 -8.59643e-17 5.31066e-17
3.20479e+03 -2.28719e-17 4.99658e-17
3.20499e+03 -5.39081e-17 4.37493e-17
3.20519e+03 1.26513e-16 4.26774e-17
3.20539e+03 -4.44592e-17 4.60972e-17
3.20559e+03 2.97967e-16 4.76321e-17
3.20579e+03 5.20248e-17 3.79095e-17
3.20599e+03 -8.13966e-17 3.45564e-17
3.20619e+03 2.38979e-16 4.12262e-17
3.20639e+03 1.43507e-16 4.15757e-17
3.20659e+03 1.53632e-16 5.52878e-17
3.20679e+03 1.41355e-16 4.49593e-17
3.20699e+03 1.06368e-16 3.64895e-17
3.20719e+03 5.62945e-17 3.97183e-17
3.20739e+03 3.10308e-17 3.62769e-17
3.20759e+03 1.55364e-16 3.92404e-17
3.20779e+03 2.03526e-16 4.55970e-17
3.20799e+03 2.79175e-17 4.37510e-17
3.20819e+03 -5.93166e-17 4.38208e-17
3.20839e+03 -1.37189e-17 3.84280e-17
3.20859e+03 -6.91792e-17 3.58743e-17
3.20879e+03 -1.27298e-16 3.35328e-17
3.20899e+03 6.63416e-17 3.97481e-17
3.20919e+03 3.90356e-17 4.30718e-17
3.20940e+03 1.26735e-16 4.81148e-17
3.20960e+03 -9.58978e-18 8.24207e-17
3.20980e+03 7.14609e-17 6.16131e-17
3.21000e+03 1.99266e-16 4.57711e-17
3.21020e+03 1.07475e-16 3.48418e-17
3.21040e+03 1.47676e-16 4.77370e-17
3.21060e+03 1.44983e-16 4.04213e-17
3.21080e+03 1.28358e-16 4.57204e-17
3.21100e+03 7.34064e-17 5.24258e-17
3.21120e+03 5.28281e-18 3.94337e-17
3.21140e+03 1.12295e-16 6.94288e-17
3.21160e+03 7.25147e-17 4.50608e-17
3.21180e+03 2.80921e-17 3.83696e-17
3.21200e+03 2.03049e-16 4.06996e-17
3.21220e+03 2.33019e-16 4.66935e-17
3.21240e+03 1.52710e-16 4.58206e-17
3.21260e+03 -6.05885e-17 4.38841e-17
3.21280e+03 3.12673e-16 4.65561e-17
3.21300e+03 -3.02446e-17 3.64554e-17
3.21320e+03 -5.94749e-17 3.71060e-17
3.21340e+03 -3.37845e-17 3.61559e-17
3.21360e+03 6.39997e-17 3.77046e-17
3.21380e+03 1.36501e-17 3.88755e-17
3.21400e+03 5.39870e-17 4.94848e-17
3.21420e+03 2.25166e-17 4.57596e-17
3.21440e+03 1.10156e-16 4.36174e-17
3.21460e+03 1.42148e-16 3.99404e-17
3.21480e+03 1.66376e-17 3.94518e-17
3.21500e+03 -4.24393e-17 3.92706e-17
3.21520e+03 1.56716e-16 4.04060e-17
3.21540e+03 1.24446e-16 3.45637e-17
3.21560e+03 1.89386e-17 2.63048e-17
3.21580e+03 4.55365e-17 3.27839e-17
3.21600e+03 -3.50132e-17 3.82097e-17
3.21620e+03 1.53258e-17 4.04775e-17
3.21640e+03 -7.70097e-17 4.46257e-17
3.21660e+03 1.24510e-16 4.17240e-17
3.21680e+03 1.28663e-16 4.52278e-17
3.21700e+03 -2.06491e-17 3.79686e-17
3.21720e+03 1.42112e-16 4.13421e-17
3.21740e+03 1.57417e-16 3.28132e-17
3.21760e+03 3.03994e-16 3.45572e-17
3.21780e+03 9.07732e-17 3.69363e-17
3.21800e+03 3.07508e-17 3.06802e-17
3.21820e+03 7.73387e-17 3.13035e-17
3.21840e+03 6.73887e-17 3.02634e-17
3.21860e+03 1.59402e-16 4.61373e-17
3.21880e+03 -8.22276e-17 4.37070e-17
3.21900e+03 1.83197e-16 3.01951e-17
3.21920e+03 5.45091e-19 3.77285e-17
3.21940e+03 1.01151e-16 4.02839e-17
3.21960e+03 1.33868e-16 3.22027e-17
3.21980e+03 -7.48544e-18 3.10659e-17
3.22000e+03 -7.79084e-17 2.96825e-17
3.22020e+03 -4.96351e-18 3.08818e-17
3.22040e+03 1.50915e-16 2.80576e-17
3.22060e+03 1.79924e-17 3.38638e-17
3.22080e+03 -1.72353e-17 2.51250e-17
3.22100e+03 2.38172e-17 3.59226e-17
3.22120e+03 1.01689e-17 3.46056e-17
3.22140e+03 7.08078e-17 3.76025e-17
3.22160e+03 -3.76284e-17 3.24009e-17
3.22180e+03 2.53646e-17 2.98149e-17
3.22200e+03 1.04212e-17 3.27991e-17
3.22220e+03 -4.27436e-18 4.85816e-17
3.22240e+03 8.02825e-17 4.03166e-17
3.22260e+03 1.55570e-16 4.22923e-17
3.22280e+03 1.31478e-16 3.48151e-17
3.22300e+03 1.23750e-16 4.80552e-17
3.22320e+03 9.19880e-17 2.83883e-17
3.22340e+03 8.78963e-17 3.36715e-17
3.22360e+03 2.59763e-17 3.01390e-17
3.22380e+03 -5.46826e-17 3.51100e-17
3.22400e+03 6.64837e-17 3.75168e-17
3.22420e+03 6.88535e-17 3.49350e-17
3.22440e+03 -1.87454e-17 2.87975e-17
3.22460e+03 2.94512e-17 2.82305e-17
3.22480e+03 1.66312e-16 2.57694e-17
3.22500e+03 3.93662e-17 2.56581e-17
3.22520e+03 -3.85972e-17 2.97655e-17
3.22540e+03 5.81053e-17 2.82117e-17
3.22560e+03 1.65796e-16 3.05898e-17
3.22580e+03 1.58092e-16 3.78869e-17
3.22600e+03 -5.66581e-17 4.30723e-17
3.22620e+03 3.73948e-17 3.93380e-17
3.22640e+03 6.43131e-17 3.62957e-17
3.22660e+03 -8.05006e-17 3.76028e-17
3.22680e+03 7.97158e-17 3.06363e-17
3.22700e+03 7.08202e-17 3.39334e-17
3.22720e+03 5.50941e-17 3.22543e-17
3.22740e+03 8.32506e-17 3.19583e-17
3.22760e+03 -8.23946e-17 2.71772e-17
3.22780e+03 2.83909e-17 3.19190e-17
3.22800e+03 9.89278e-17 2.82178e-17
3.22820e+03 -1.28836e-16 3.31268e-17
3.22840e+03 -5.46910e-17 3.03114e-17
3.22860e+03 1.66443e-16 2.85751e-17
3.22880e+03 -2.79798e-17 2.91732e-17
3.22900e+03 -1.37598e-17 2.56989e-17
3.22920e+03 2.58067e-17 2.78635e-17
3.22940e+03 5.68776e-17 3.26430e-17
3.22960e+03 5.45873e-17 2.74682e-17
3.22980e+03 -1.28589e-17 3.31343e-17
3.23000e+03 -4.65389e-17 2.82383e-17
3.23020e+03 7.90538e-17 4.08368e-17
3.23040e+03 -9.57977e-17 3.56113e-17
3.23060e+03 -3.12177e-17 3.30732e-17
3.23080e+03 -3.31170e-17 2.93522e-17
3.23100e+03 1.24101e-16 3.15239e-17
3.23120e+03 1.00067e-16 3.13801e-17
3.23140e+03 -1.86437e-17 2.82675e-17
3.23160e+03 1.21325e-16 2.17412e-17
3.23180e+03 -2.26158e-17 2.18204e-17
3.23200e+03 -2.99055e-17 2.64502e-17
3.23220e+03 4.23658e-17 3.20364e-17
3.23240e+03 9.62427e-17 2.75355e-17
3.23260e+03 -4.58963e-17 2.39249e-17
3.23280e+03 -8.70225e-18 3.54690e-17
3.23300e+03 6.55459e-17 3.18874e-17
3.23320e+03 4.39901e-17 2.46026e-17
3.23340e+03 1.79050e-17 2.71493e-17
3.23360e+03 1.46657e-16 2.81457e-17
3.23380e+03 5.31002e-17 2.28357e-17
3.23400e+03 -1.16919e-16 2.74100e-17
3.23420e+03 -6.40872e-18 3.46422e-17
3.23440e+03 4.68808e-17 2.93513e-17
3.23460e+03 4.12611e-18 2.81597e-17
3.23480e+03 9.50912e-17 2.67704e-17
3.23500e+03 7.21347e-17 2.59786e-17
3.23520e+03 8.27346e-17 2.71421e-17
3.23540e+03 -4.46202e-17 2.90385e-17
3.23560e+03 -1.04224e-16 2.70364e-17
3.23580e+03 7.82390e-17 2.51475e-17
3.23600e+03 5.55702e-17 2.71957e-17
3.23620e+03 4.39582e-17 2.47047e-17
3.23640e+03 9.85645e-17 2.60843e-17
3.23660e+03 8.42865e-17 2.42289e-17
3.23680e+03 1.05043e-16 2.66901e-17
3.23700e+03 -1.90196e-17 2.94529e-17
3.23720e+03 -7.11958e-17 2.74630e-17
3.23740e+03 5.87560e-17 2.36128e-17
3.23760e+03 2.71133e-17 2.39407e-17
3.23780e+03 -1.03457e-17 2.63585e-17
3.23800e+03 1.24256e-17 2.50888e-17
3.23820e+03 4.24058e-17 2.47234e-17
3.23840e+03 3.38448e-17 1.97393e-17
3.23860e+03 -7.10053e-17 2.85979e-17
3.23880e+03 -2.07635e-17 3.08200e-17
