# names value +error -error
         amp_pow -7.33512e+00 1.12638e-02 1.19716e-02
       slope_pow -2.43520e+00 3.20834e-03 3.03204e-03
               N 2.08798e+01 4.41802e-02 4.28124e-02
           sigma 1.39044e+02 9.61709e+01 1.10268e+02
               z 1.71445e+00 1.10150e-03 1.05244e-03
             ebv 2.44782e-07 2.38841e-07 1.35556e-06
               f 4.16000e-01 0.00000e+00 0.00000e+00
     lambda_zero 1.21567e+03 0.00000e+00 0.00000e+00
           gamma 6.26500e+08 0.00000e+00 0.00000e+00
 resolution_fwhm 3.00000e+01 0.00000e+00 0.00000e+00
